name,grade,supplier,t,t,t,t,t,t,t,t,t,t,t,o,o,o,o,o,o,o,o,o,o,o
105 E1,E1,prg320,35,35,35,,,,,,,,,0,90,0,,,,,,,,
175 E1,E1,prg320,35,35,35,35,35,,,,,,,0,90,0,90,0,,,,,,
245 E1,E1,prg320,35,35,35,35,35,35,35,,,,,0,90,0,90,0,90,0,,,,
315 E1,E1,prg320,35,35,35,35,35,35,35,35,35,,,0,90,0,90,0,90,0,90,0,,
105 E2,E2,prg320,35,35,35,,,,,,,,,0,90,0,,,,,,,,
175 E2,E2,prg320,35,35,35,35,35,,,,,,,0,90,0,90,0,,,,,,
245 E2,E2,prg320,35,35,35,35,35,35,35,,,,,0,90,0,90,0,90,0,,,,
315 E2,E2,prg320,35,35,35,35,35,35,35,35,35,,,0,90,0,90,0,90,0,90,0,,
105 E3,E3,prg320,35,35,35,,,,,,,,,0,90,0,,,,,,,,
175 E3,E3,prg320,35,35,35,35,35,,,,,,,0,90,0,90,0,,,,,,
245 E3,E3,prg320,35,35,35,35,35,35,35,,,,,0,90,0,90,0,90,0,,,,
315 E3,E3,prg320,35,35,35,35,35,35,35,35,35,,,0,90,0,90,0,90,0,90,0,,
105 E5,E5,prg320,35,35,35,,,,,,,,,0,90,0,,,,,,,,
175 E5,E5,prg320,35,35,35,35,35,,,,,,,0,90,0,90,0,,,,,,
245 E5,E5,prg320,35,35,35,35,35,35,35,,,,,0,90,0,90,0,90,0,,,,
315 E5,E5,prg320,35,35,35,35,35,35,35,35,35,,,0,90,0,90,0,90,0,90,0,,
105 V1,V1,prg320,35,35,35,,,,,,,,,0,90,0,,,,,,,,
175 V1,V1,prg320,35,35,35,35,35,,,,,,,0,90,0,90,0,,,,,,
245 V1,V1,prg320,35,35,35,35,35,35,35,,,,,0,90,0,90,0,90,0,,,,
315 V1,V1,prg320,35,35,35,35,35,35,35,35,35,,,0,90,0,90,0,90,0,90,0,,
105 V2,V2,prg320,35,35,35,,,,,,,,,0,90,0,,,,,,,,
175 V2,V2,prg320,35,35,35,35,35,,,,,,,0,90,0,90,0,,,,,,
245 V2,V2,prg320,35,35,35,35,35,35,35,,,,,0,90,0,90,0,90,0,,,,
315 V2,V2,prg320,35,35,35,35,35,35,35,35,35,,,0,90,0,90,0,90,0,90,0,,
105 V3,V3,prg320,35,35,35,,,,,,,,,0,90,0,,,,,,,,
175 V3,V3,prg320,35,35,35,35,35,,,,,,,0,90,0,90,0,,,,,,
245 V3,V3,prg320,35,35,35,35,35,35,35,,,,,0,90,0,90,0,90,0,,,,
315 V3,V3,prg320,35,35,35,35,35,35,35,35,35,,,0,90,0,90,0,90,0,90,0,,
